date;amount;description
2026-03-03;599.0;Netflix
2026-03-03;399.0;КИНОПОИСК ПЛЮС HD МОСКВА
2026-03-03;299.0;ЯНДЕКС.ПЛЮС
2026-03-03;272.41;SPOTIFY MUSIC STOCKHOLM
2026-03-03;299.0;IVI.RU ONLINE КИНОТЕАТР
2026-03-03;3490.0;АБОНЕМЕНТ WORLD CLASS ФИТНЕС
2026-03-03;641.31;ЯНДЕКС ТАКСИ
2026-03-04;522.69;ЯНДЕКС ТАКСИ
2026-03-05;2818.86;АЗС ЛУКОЙЛ
2026-03-06;5158.65;WILDBERRIES
2026-03-07;2213.41;WILDBERRIES
2026-03-09;267.7;САМКАТ СИТИ
2026-03-11;1891.9;ПЯТЕРОЧКА
2026-03-12;255.16;САМКАТ СИТИ
2026-03-13;515.64;КОФЕЙНЯ ДАБЛБИ
2026-03-14;4022.86;OZON.RU
2026-03-15;4365.34;OZON.RU
2026-03-19;2379.92;ПЕРЕКРЕСТОК
2026-03-20;726.32;АПТЕКА 36,6
2026-03-21;1252.78;ВКУСВИЛЛ
2026-03-22;1317.01;OZON.RU
2026-03-23;392.75;ЯНДЕКС ТАКСИ
2026-03-24;765.36;ПЯТЕРОЧКА
2026-03-25;781.4;АПТЕКА 36,6
2026-03-26;512.91;КОФЕЙНЯ ДАБЛБИ
2026-03-27;1707.77;ПЕРЕКРЕСТОК
2026-03-29;1479.26;АЗС ЛУКОЙЛ
2026-03-30;420.78;ЯНДЕКС ТАКСИ
2026-03-31;369.82;КОФЕЙНЯ ДАБЛБИ
2026-04-01;4008.11;WILDBERRIES
2026-04-02;2187.48;ПЯТЕРОЧКА
2026-04-03;599.0;NETFLIX.COM 866-579-7172 US
2026-04-03;399.0;КИНОПОИСК ПЛЮС HD МОСКВА
2026-04-03;299.0;ЯНДЕКС.ПЛЮС
2026-04-03;269.0;SPOTIFY MUSIC STOCKHOLM
2026-04-03;3490.0;АБОНЕМЕНТ WORLD CLASS ФИТНЕС
2026-04-03;2990.0;ICLOUD+ 2TB APPLE.COM/BILL
2026-04-03;5731.68;WILDBERRIES
2026-04-04;938.67;ВКУСВИЛЛ
2026-04-05;2081.52;ПЕРЕКРЕСТОК
2026-04-08;1354.39;ВКУСВИЛЛ
2026-04-09;2737.2;АЗС ЛУКОЙЛ
2026-04-10;2069.53;АЗС ЛУКОЙЛ
2026-04-11;3143.78;АЗС ЛУКОЙЛ
2026-04-13;1618.73;ВКУСВИЛЛ
2026-04-14;645.83;ЯНДЕКС ТАКСИ
2026-04-15;4190.21;WILDBERRIES
2026-04-17;1597.63;ПЯТЕРОЧКА
2026-04-18;1700.74;ВКУСВИЛЛ
2026-04-21;791.96;ПЯТЕРОЧКА
2026-04-22;519.91;ВКУСВИЛЛ
2026-04-23;1769.18;ВКУСВИЛЛ
2026-04-24;1683.19;WILDBERRIES
2026-04-25;357.33;ЯНДЕКС ТАКСИ
2026-04-26;376.94;КОФЕЙНЯ ДАБЛБИ
2026-04-27;740.92;ЯНДЕКС ТАКСИ
2026-04-28;1997.98;АЗС ЛУКОЙЛ
2026-04-29;825.72;АПТЕКА 36,6
2026-04-30;747.07;ВКУСВИЛЛ
2026-05-01;1573.69;ПЯТЕРОЧКА
2026-05-02;535.95;OZON.RU
2026-05-03;599.0;NETFLIX.COM 866-579-7172 US
2026-05-03;399.0;КИНОПОИСК ПЛЮС HD МОСКВА
2026-05-03;299.0;ЯНДЕКС.ПЛЮС
2026-05-03;269.0;SPOTIFY MUSIC STOCKHOLM
2026-05-03;299.0;IVI.RU ONLINE КИНОТЕАТР
2026-05-03;3490.0;АБОНЕМЕНТ WORLD CLASS ФИТНЕС
2026-05-03;499.0;ДОНАТ GAME STORE
2026-05-03;765.12;ПЯТЕРОЧКА
2026-05-06;1892.39;OZON.RU
2026-05-07;336.0;ЯНДЕКС ТАКСИ
2026-05-09;1280.39;ПЕРЕКРЕСТОК
2026-05-10;333.29;САМКАТ СИТИ
2026-05-11;448.01;САМКАТ СИТИ
2026-05-12;1765.07;ПЯТЕРОЧКА
2026-05-14;709.75;САМКАТ СИТИ
2026-05-16;1451.04;OZON.RU
2026-05-17;328.44;САМКАТ СИТИ
2026-05-18;1020.38;ВКУСВИЛЛ
2026-05-20;1717.33;ПЯТЕРОЧКА
2026-05-21;2430.24;ПЯТЕРОЧКА
2026-05-24;1947.8;ПЕРЕКРЕСТОК
2026-05-27;2466.94;ПЯТЕРОЧКА
2026-05-28;1398.7;ПЕРЕКРЕСТОК
2026-05-29;680.22;ЯНДЕКС ТАКСИ
2026-05-30;1983.54;OZON.RU
2026-06-01;289.62;ЯНДЕКС ТАКСИ
2026-06-02;1564.4;ПЯТЕРОЧКА
2026-06-03;599.0;Netflix
2026-06-03;399.0;КИНОПОИСК ПЛЮС HD МОСКВА
2026-06-03;299.0;ЯНДЕКС.ПЛЮС
2026-06-03;272.41;SPOTIFY MUSIC AB
2026-06-03;299.0;IVI.RU ONLINE КИНОТЕАТР
2026-06-03;3490.0;АБОНЕМЕНТ WORLD CLASS ФИТНЕС
2026-06-03;352.33;ЯНДЕКС ТАКСИ
2026-06-05;1317.98;WILDBERRIES
2026-06-06;2518.88;OZON.RU
2026-06-08;428.36;КОФЕЙНЯ ДАБЛБИ
2026-06-09;660.16;САМКАТ СИТИ
2026-06-10;1421.65;АПТЕКА 36,6
2026-06-11;586.42;АПТЕКА 36,6
2026-06-12;2114.45;АЗС ЛУКОЙЛ
2026-06-15;549.54;КОФЕЙНЯ ДАБЛБИ
2026-06-17;3029.42;OZON.RU
2026-06-18;1357.04;АПТЕКА 36,6
2026-06-20;3572.93;WILDBERRIES
2026-06-21;2423.36;АЗС ЛУКОЙЛ
2026-06-23;1752.69;ПЯТЕРОЧКА
2026-06-24;1714.5;ВКУСВИЛЛ
2026-06-25;1645.6;ВКУСВИЛЛ
2026-06-26;2561.32;WILDBERRIES
2026-06-27;544.32;АПТЕКА 36,6
2026-06-28;2210.82;АЗС ЛУКОЙЛ
2026-06-29;457.67;ПЯТЕРОЧКА
2026-06-30;1288.17;АЗС ЛУКОЙЛ
2026-07-01;4786.39;WILDBERRIES
2026-07-02;2144.71;ПЕРЕКРЕСТОК
2026-07-03;599.0;NFLX* B8R2K3P4 866-579-7172
2026-07-03;399.0;КИНОПОИСК ПЛЮС HD МОСКВА
2026-07-03;299.0;ЯНДЕКС.ПЛЮС
2026-07-03;269.0;SPOTIFY MUSIC STOCKHOLM
2026-07-03;299.0;IVI.RU ONLINE КИНОТЕАТР
2026-07-03;3490.0;АБОНЕМЕНТ WORLD CLASS ФИТНЕС
2026-07-03;498.0;STEAM PURCHASE
2026-07-03;501.72;ПЯТЕРОЧКА
2026-07-05;4228.1;WILDBERRIES
2026-07-07;3521.7;WILDBERRIES
2026-07-08;1378.78;АПТЕКА 36,6
2026-07-12;3834.67;OZON.RU
2026-07-13;824.69;ЯНДЕКС ТАКСИ
2026-07-14;474.84;КОФЕЙНЯ ДАБЛБИ
2026-07-16;6854.86;WILDBERRIES
2026-07-19;1238.86;АПТЕКА 36,6
2026-07-20;1834.03;OZON.RU
2026-07-22;2181.83;ПЯТЕРОЧКА
2026-07-23;1579.04;ПЕРЕКРЕСТОК
2026-07-26;2492.33;OZON.RU
2026-07-27;1753.64;ВКУСВИЛЛ
2026-07-28;509.79;ЯНДЕКС ТАКСИ
2026-07-30;509.52;ПЯТЕРОЧКА
2026-08-01;1276.51;АЗС ЛУКОЙЛ
2026-08-02;1174.25;АПТЕКА 36,6
2026-08-03;599.0;NETFLIX.COM 866-579-7172 US
2026-08-03;399.0;КИНОПОИСК ПЛЮС HD МОСКВА
2026-08-03;299.0;ЯНДЕКС.ПЛЮС
2026-08-03;269.0;SPOTIFY MUSIC STOCKHOLM
2026-08-03;299.0;IVI.RU ONLINE КИНОТЕАТР
2026-08-03;3490.0;АБОНЕМЕНТ WORLD CLASS ФИТНЕС
2026-08-03;545.27;КОФЕЙНЯ ДАБЛБИ
2026-08-04;307.02;КОФЕЙНЯ ДАБЛБИ
2026-08-05;201.18;САМКАТ СИТИ
2026-08-07;2321.11;OZON.RU
2026-08-08;1047.79;АПТЕКА 36,6
2026-08-09;1407.66;ВКУСВИЛЛ
2026-08-10;2533.79;АЗС ЛУКОЙЛ
2026-08-11;2308.82;АЗС ЛУКОЙЛ
2026-08-12;674.12;САМКАТ СИТИ
2026-08-14;2012.15;АЗС ЛУКОЙЛ
2026-08-16;2649.44;OZON.RU
2026-08-17;857.99;АПТЕКА 36,6
2026-08-18;3055.87;OZON.RU
2026-08-21;797.3;ВКУСВИЛЛ
2026-08-22;350.56;КОФЕЙНЯ ДАБЛБИ
2026-08-25;4532.81;OZON.RU
2026-08-26;800.9;ПЯТЕРОЧКА
2026-08-27;1037.58;ВКУСВИЛЛ
2026-08-29;546.06;САМКАТ СИТИ
2026-08-30;2258.48;ПЯТЕРОЧКА
2026-09-03;599.0;NETFLIX.COM 866-579-7172 US
2026-09-03;399.0;КИНОПОИСК ПЛЮС HD МОСКВА
2026-09-03;299.0;ЯНДЕКС.ПЛЮС
